Time,Voltage(kV),Voltage-100ohm
-3.44E-04,-1,-8.80E-01
-3.44E-04,-1.2,-8.80E-01
-3.44E-04,-1,-9.60E-01
-3.43E-04,-1,-8.80E-01
-3.43E-04,-1,-8.80E-01
-3.43E-04,-8.00E-01,-9.60E-01
-3.43E-04,-6.00E-01,-8.80E-01
-3.43E-04,-4.00E-01,-1.04
-3.42E-04,0,-9.60E-01
-3.42E-04,0,-9.60E-01
-3.42E-04,0,-8.80E-01
-3.42E-04,2.00E-01,-9.60E-01
-3.42E-04,0,-1.04
-3.41E-04,0,-9.60E-01
-3.41E-04,4.00E-01,-9.60E-01
-3.41E-04,6.00E-01,-9.60E-01
-3.41E-04,6.00E-01,-9.60E-01
-3.41E-04,8.00E-01,-9.60E-01
-3.40E-04,8.00E-01,-1.04
-3.40E-04,8.00E-01,-1.04
-3.40E-04,1,-1.04
-3.40E-04,1,-1.04
-3.40E-04,1.2,-1.04
-3.39E-04,1.4,-9.60E-01
-3.39E-04,1.6,-1.12
-3.39E-04,1.8000001,-1.12
-3.39E-04,2,-9.60E-01
-3.39E-04,2.2,-1.04
-3.38E-04,2.6000001,-9.60E-01
-3.38E-04,2.6000001,-9.60E-01
-3.38E-04,2.6000001,-9.60E-01
-3.38E-04,3,-9.60E-01
-3.38E-04,3,-9.60E-01
-3.37E-04,3.20000005,-8.80E-01
-3.37E-04,3.60000014,-8.00E-01
-3.37E-04,3.60000014,-8.00E-01
-3.37E-04,4,-8.00E-01
-3.37E-04,4,-8.00E-01
-3.36E-04,4.4000001,-8.00E-01
-3.36E-04,4.5999999,-7.20E-01
-3.36E-04,4.80000019,-7.20E-01
-3.36E-04,5,-7.20E-01
-3.36E-04,5,-6.40E-01
-3.35E-04,5,-5.60E-01
-3.35E-04,5.20000029,-5.60E-01
-3.35E-04,5.20000029,-4.00E-01
-3.35E-04,5.20000029,-3.20E-01
-3.35E-04,5,-8.00E-02
-3.34E-04,5,0
-3.34E-04,4.80000019,1.60E-01
-3.34E-04,4.5999999,4.00E-01
-3.34E-04,4.20000029,4.80E-01
-3.34E-04,4,6.40E-01
-3.33E-04,3.60000014,7.20E-01
-3.33E-04,3.60000014,9.60E-01
-3.33E-04,3.20000005,9.60E-01
-3.33E-04,2.79999995,1.04
-3.33E-04,2.6000001,1.04
-3.32E-04,2.6000001,1.04
-3.32E-04,2.4000001,1.12
-3.32E-04,2.4000001,1.12
-3.32E-04,2.2,1.12
